Player,Owner,Team,Pos
Caden Dana,Levittown LumberJacks,LAA,SP
Cal Raleigh,Halifax,SEA,C
Caleb Bonemer,The Jackson 54,CHW,SS
Caleb Durbin,Bo-Peeps Gentleman's Club,BOS,"2B,3B"
Cam Caminiti,Halifax,ATL,SP
Cam Collier,Soylent Green Oreos,CIN,1B
Cam Smith,O'Doyle Rulez,HOU,OF
Cameron Schlittler,Renegades,NYY,SP
Carlos Correa,Soylent Green Oreos,HOU,"3B,SS"
Carlos Estevez,Halifax,KC,RP
Carlos Rodon,Buck Dynasty,NYY,SP
Carson Benge,O'Doyle Rulez,NYM,OF
Carson Kelly,Bo-Peeps Gentleman's Club,CHC,C
Carson Williams,Halifax,TB,SS
Carter Jensen,Fear the Beer,KC,C
Casey Mize,Soylent Green Oreos,DET,SP
Ceddanne Rafaela,Halifax,BOS,"2B,OF"
Cedric Mullins,Bo-Peeps Gentleman's Club,TB,OF
Chandler Simpson,Soylent Green Oreos,TB,OF
Charlie Condon,Levittown LumberJacks,COL,1B
Charlie Morton,The Jackson 54,ATL,SP
Chase Burns,Quality Start,CIN,SP
Chase DeLauter,Buck Dynasty,CLE,OF
Chase Dollander,Levittown LumberJacks,COL,SP
Chase Petty,Levittown LumberJacks,CIN,SP
Chen-Wei Lin,Renegades,STL,SP
Ching-Hsien Ko,Renegades,LAD,OF
Chris Bassitt,Fear the Beer,BAL,SP
Chris Paddack,The Jackson 54,MIA,SP
Chris Sale,Buck Dynasty,ATL,SP
Christian Moore,O'Doyle Rulez,LAA,2B
Christian Walker,Halifax,HOU,1B
Christian Yelich,Fear the Beer,MIL,OF
Clay Holmes,Halifax,NYM,SP
Clayton Kershaw,Quality Start,LAD,SP
Coby Mayo,Lemon Law Lineup,BAL,1B
Cody Bellinger,Levittown LumberJacks,NYY,OF
Colby Thomas,Lemon Law Lineup,ATH,OF
Cole Carrigg,Fear the Beer,COL,OF
Cole Ragans,Buck Dynasty,KC,SP
Cole Young,Buck Dynasty,SEA,2B
Coleman Crow,Bo-Peeps Gentleman's Club,MIL,SP
Colin Rea,Bo-Peeps Gentleman's Club,CHC,SP
Colson Montgomery,Soylent Green Oreos,CHW,"3B,SS"
Colt Emerson,Levittown LumberJacks,SEA,SS
Colt Keith,Quality Start,DET,"1B,2B,3B"
Colton Cowser,O'Doyle Rulez,BAL,OF
Connor Norby,O'Doyle Rulez,MIA,3B
Connor Prielipp,Levittown LumberJacks,MIN,SP
Cooper Pratt,Fear the Beer,MIL,SS
Corbin Burnes,O'Doyle Rulez,ARI,SP
Corbin Carroll,Quality Start,ARI,OF
Corey Seager,Levittown LumberJacks,TEX,SS
Cris Rodriguez,Diamond Kings 2.0,DET,OF
Cristian Javier,Buck Dynasty,HOU,SP
Cristopher Sanchez,Renegades,PHI,SP
Dalton Rushing,Levittown LumberJacks,LAD,C
Daniel Espino,Renegades,CLE,SP
Daniel Palencia,Bo-Peeps Gentleman's Club,CHC,RP
Dansby Swanson,Soylent Green Oreos,CHC,SS
Darell Hernaiz,Bo-Peeps Gentleman's Club,ATH,"2B,3B,SS"
Dasan Hill,Levittown LumberJacks,MIN,SP
David Bednar,Fear the Beer,NYY,RP
David Festa,Lemon Law Lineup,MIN,SP
David Peterson,Halifax,NYM,SP
Davidjohn Herz,Halifax,WAS,SP
Davis Martin,Lemon Law Lineup,CHW,SP
Daylen Lile,Quality Start,WAS,OF
Dean Kremer,Soylent Green Oreos,BAL,SP
Devin Williams,Fear the Beer,NYM,RP
Didier Fuentes,Soylent Green Oreos,ATL,SP
Drake Baldwin,Diamond Kings 2.0,ATL,C
Drew Gilbert,Fear the Beer,SF,OF
Drew Rasmussen,The Jackson 54,TB,SP
Druw Jones,Quality Start,ARI,OF
Dustin May,O'Doyle Rulez,STL,SP
Dylan Beavers,Lemon Law Lineup,BAL,OF
Dylan Cease,Quality Start,TOR,SP
Dylan Crews,Renegades,WAS,OF
Edgar Quero,Quality Start,CHW,C
Eduardo Beltre,Buck Dynasty,MIN,OF
Eduardo Quintero,Diamond Kings 2.0,LAD,OF
Eduardo Tait,Levittown LumberJacks,MIN,C
Edward Cabrera,Diamond Kings 2.0,CHC,SP
Edward Florentino,Diamond Kings 2.0,PIT,OF
Edwin Arroyo,Buck Dynasty,CIN,SS
Edwin Diaz,Buck Dynasty,LAD,RP
Elian Pena,O'Doyle Rulez,NYM,SS
Elly De La Cruz,Quality Start,CIN,SS
Emerson Hancock,Bo-Peeps Gentleman's Club,SEA,SP
Emil Morales,Lemon Law Lineup,LAD,SS
Emilio Pagan,Levittown LumberJacks,CIN,RP
Emmanuel Rodriguez,Quality Start,MIN,OF
Emmet Sheehan,Renegades,LAD,SP
Ernie Clement,Halifax,TOR,"1B,2B,3B,SS"
Esteban Mejia,Diamond Kings 2.0,BAL,SP
Ethan Salas,Soylent Green Oreos,SD,C
Eugenio Suarez,Fear the Beer,CIN,3B
Eury Perez,Diamond Kings 2.0,MIA,SP
Evan Carter,O'Doyle Rulez,TEX,OF
Ezequiel Tovar,Lemon Law Lineup,COL,SS
Felnin Celesten,Buck Dynasty,SEA,SS
Fernando Tatis,Buck Dynasty,SD,OF
Framber Valdez,The Jackson 54,DET,SP
Francisco Alvarez,O'Doyle Rulez,NYM,C
Francisco Lindor,Diamond Kings 2.0,NYM,SS
Franklin Arias,O'Doyle Rulez,BOS,SS
Freddie Freeman,O'Doyle Rulez,LAD,1B
Freddy Peralta,O'Doyle Rulez,NYM,SP
Gabriel Moreno,Soylent Green Oreos,ARI,C
Gage Jump,Buck Dynasty,ATH,SP
Garrett Crochet,Buck Dynasty,BOS,SP
Gavin Lux,O'Doyle Rulez,TB,"2B,OF"
Gavin Sheets,Bo-Peeps Gentleman's Club,SD,"1B,OF"
Gavin Williams,Halifax,CLE,SP
George Kirby,The Jackson 54,SEA,SP
George Lombard,O'Doyle Rulez,NYY,SS
George Springer,Quality Start,TOR,OF
Geraldo Perdomo,Fear the Beer,ARI,SS
Gerrit Cole,Levittown LumberJacks,NYY,SP
Giancarlo Stanton,Quality Start,NYY,OF
Grant Taylor,Fear the Beer,CHW,RP
Grayson Rodriguez,Lemon Law Lineup,LAA,SP
Gunnar Henderson,Renegades,BAL,SS
Hagen Smith,O'Doyle Rulez,CHW,SP
Harrison Bader,Bo-Peeps Gentleman's Club,SF,OF
Harry Ford,Buck Dynasty,WAS,C
Ha-seong Kim,The Jackson 54,ATL,SS
Hayden Birdsong,Lemon Law Lineup,SF,"SP,RP"
Heliot Ramos,Diamond Kings 2.0,SF,OF
Henry Bolte,Halifax,ATH,OF
Heston Kjerstad,Lemon Law Lineup,BAL,OF
Hunter Barco,Buck Dynasty,PIT,RP
Hunter Brown,Diamond Kings 2.0,HOU,SP
Hunter Goodman,Bo-Peeps Gentleman's Club,COL,C
Hunter Greene,Quality Start,CIN,SP
Hurston Waldrep,Quality Start,ATL,SP
Hye Seong Kim,O'Doyle Rulez,LAD,"2B,SS,OF"
Ian Happ,Quality Start,CHC,OF
Ian Seymour,Quality Start,TB,"SP,RP"
Isaac Collins,Renegades,KC,OF
Isaac Paredes,Bo-Peeps Gentleman's Club,HOU,3B
Ivan Herrera,Renegades,STL,C
J.P. Crawford,Levittown LumberJacks,SEA,SS
J.T. Realmuto,Buck Dynasty,PHI,C
Jac Caglianone,Soylent Green Oreos,KC,"1B,OF"
Jack Flaherty,O'Doyle Rulez,DET,SP
Jack Leiter,Halifax,TEX,SP
Jack Perkins,Quality Start,ATH,RP
Jackson Chourio,Renegades,MIL,OF
Jackson Ferris,O'Doyle Rulez,LAD,SP
Jackson Holliday,The Jackson 54,BAL,2B
Jackson Jobe,Renegades,DET,SP
Jackson Merrill,Renegades,SD,OF
Jacob deGrom,Buck Dynasty,TEX,SP
Jacob Melton,The Jackson 54,TB,OF
Jacob Misiorowski,Diamond Kings 2.0,MIL,SP
Jacob Wilson,O'Doyle Rulez,ATH,SS
Jaison Chourio,Lemon Law Lineup,CLE,OF
Jake Fraley,O'Doyle Rulez,TB,OF
Jake Irvin,Halifax,WAS,SP
Jake Meyers,Halifax,HOU,OF
Jakob Marsee,Diamond Kings 2.0,MIA,OF
James Tibbs,Halifax,LAD,OF
James Wood,Renegades,WAS,OF
Jameson Taillon,O'Doyle Rulez,CHC,SP
Janson Junk,Bo-Peeps Gentleman's Club,MIA,SP
Jared Jones,Lemon Law Lineup,PIT,SP
Jarlin Susana,O'Doyle Rulez,WAS,SP
Jarren Duran,The Jackson 54,BOS,OF
Jason Adam,Diamond Kings 2.0,SD,RP
Jason Alexander,Bo-Peeps Gentleman's Club,HOU,SP
Jasson Dominguez,Quality Start,NYY,OF
Javier Assad,Bo-Peeps Gentleman's Club,CHC,SP
Jaxon Wiggins,Fear the Beer,CHC,SP
Jazz Chisholm,Renegades,NYY,"2B,3B"
Jeferson Quero,Fear the Beer,MIL,C
Jeff Hoffman,Renegades,TOR,RP
Jeff McNeil,Halifax,ATH,"2B,OF"
Jeffrey Springs,Fear the Beer,ATH,SP
Jeral Perez,The Jackson 54,CHW,2B
Jeremiah Estrada,Soylent Green Oreos,SD,RP
Jeremiah Jackson,Bo-Peeps Gentleman's Club,BAL,"3B,OF"
Jeremy Pena,Diamond Kings 2.0,HOU,SS
Jesus Luzardo,Halifax,PHI,SP
Jesus Made,Diamond Kings 2.0,MIL,SS
Jett Williams,O'Doyle Rulez,MIL,SS
Jhoan Duran,Quality Start,PHI,RP
Jhostynxon Garcia,Quality Start,PIT,OF
JJ Wetherholt,Lemon Law Lineup,STL,SS
Jo Adell,Lemon Law Lineup,LAA,OF
Joe Musgrove,The Jackson 54,SD,SP
Joe Ryan,Fear the Beer,MIN,SP
Joey Cantillo,Lemon Law Lineup,CLE,"SP,RP"
Johan Oviedo,Renegades,BOS,SP
John Cruz,The Jackson 54,MIA,OF
Johnny King,Fear the Beer,TOR,SP
JoJo Romero,Bo-Peeps Gentleman's Club,STL,RP
Jonah Heim,O'Doyle Rulez,ATL,C
Jonah Tong,O'Doyle Rulez,NYM,SP
Jonathan Aranda,Renegades,TB,1B
Jonathan India,O'Doyle Rulez,KC,"2B,3B,OF"
Jonny Farmelo,Lemon Law Lineup,SEA,OF
Jordan Beck,Diamond Kings 2.0,COL,OF
Jordan Hicks,Lemon Law Lineup,CHW,"SP,RP"
Jordan Lawlar,Buck Dynasty,ARI,3B
Jordan Walker,Lemon Law Lineup,STL,OF
Jordan Westburg,Diamond Kings 2.0,BAL,"2B,3B"
Jorge Polanco,Diamond Kings 2.0,NYM,2B
Jose Altuve,The Jackson 54,HOU,"2B,OF"
Jose Alvarado,The Jackson 54,PHI,RP
Jose Ferrer,Halifax,SEA,RP
Jose Quintana,O'Doyle Rulez,COL,SP
Jose Ramirez,The Jackson 54,CLE,3B
Jose Soriano,Diamond Kings 2.0,LAA,SP
Josh H. Smith,Halifax,TEX,"1B,3B,SS,OF"
Josh Hader,Buck Dynasty,HOU,RP
Josh Jung,Levittown LumberJacks,TEX,3B
Josh Naylor,Renegades,SEA,1B
Joshua Baez,The Jackson 54,STL,OF
Joshua Lowe,O'Doyle Rulez,LAA,OF
Josuar De Jesus Gonzalez,Diamond Kings 2.0,SF,SS
Josue Briceno,Quality Start,DET,C
Josue De Paula,Renegades,LAD,OF
JR Ritchie,Diamond Kings 2.0,ATL,SP
Juan Soto,Buck Dynasty,NYM,OF
Julio Rodriguez,Buck Dynasty,SEA,OF
Juneiker Caceres,Diamond Kings 2.0,CLE,OF
Jung Hoo Lee,Lemon Law Lineup,SF,OF
Junior Caminero,Renegades,TB,3B
Jurickson Profar,The Jackson 54,ATL,OF
Jurrangelo Cijntje,Halifax,STL,SP
Justin Crawford,O'Doyle Rulez,PHI,OF
JUSTIN GONZALES,Diamond Kings 2.0,BOS,OF
Justin Steele,Quality Start,CHC,SP
Justin Verlander,The Jackson 54,DET,SP
Kaelen Culpepper,The Jackson 54,MIN,SS
Keegan Akin,Buck Dynasty,BAL,RP
Keegan Thompson,Bo-Peeps Gentleman's Club,COL,RP
Keider Montero,Bo-Peeps Gentleman's Club,DET,SP
Kendry Chourio,The Jackson 54,KC,SP
Kendry Rojas,Quality Start,MIN,SP
Kenley Jansen,O'Doyle Rulez,DET,RP
Kerry Carpenter,Bo-Peeps Gentleman's Club,DET,OF
Ketel Marte,Quality Start,ARI,2B
Kevin Alcantara,Levittown LumberJacks,CHC,OF
Kevin Gausman,Levittown LumberJacks,TOR,SP
Kevin McGonigle,Lemon Law Lineup,DET,SS
Khal Stephen,O'Doyle Rulez,CLE,SP
Konnor Griffin,Levittown LumberJacks,PIT,SS
Kris Bryant,Lemon Law Lineup,COL,DH
Kris Bubic,Quality Start,KC,SP
Kristian Campbell,Quality Start,BOS,2B
Kumar Rocker,Buck Dynasty,TEX,SP
Kyle Bradish,Buck Dynasty,BAL,SP
Kyle Farmer,Lemon Law Lineup,ATL,"1B,2B,3B,SS"
Kyle Finnegan,Bo-Peeps Gentleman's Club,DET,RP
Kyle Hart,O'Doyle Rulez,SD,"SP,RP"
Kyle Manzardo,Buck Dynasty,CLE,1B
Kyle Schwarber,Soylent Green Oreos,PHI,DH
Kyle Stowers,Bo-Peeps Gentleman's Club,MIA,OF
Kyle Teel,The Jackson 54,CHW,C
Kyle Tucker,The Jackson 54,LAD,OF
Landon Knack,Bo-Peeps Gentleman's Club,LAD,SP
Lane Thomas,Lemon Law Lineup,KC,OF
Lars Nootbaar,Diamond Kings 2.0,STL,OF
Lawrence Butler,Lemon Law Lineup,ATH,OF
Lazaro Montes,Buck Dynasty,SEA,OF
Lenyn Sosa,Halifax,CHW,"1B,2B"
Leo De Vries,Renegades,ATH,SS
Logan Gilbert,Quality Start,SEA,SP
Logan Henderson,Quality Start,MIL,SP
Logan O'Hoppe,Renegades,LAA,C
Logan Webb,Levittown LumberJacks,SF,SP
Lucas Giolito,Soylent Green Oreos,BOS,SP
Luis Arraez,Bo-Peeps Gentleman's Club,SF,"1B,2B"
Luis Castillo,Buck Dynasty,SEA,SP
Luis Garcia,Bo-Peeps Gentleman's Club,HOU,SP
Luis Gil,The Jackson 54,NYY,SP
Luis Matos,Renegades,SF,OF
Luis Morales,Soylent Green Oreos,ATH,SP
Luis Pena,Soylent Green Oreos,MIL,SS
Luis Robert,The Jackson 54,NYM,OF
Luis Severino,O'Doyle Rulez,ATH,SP
Luisangel Acuna,Lemon Law Lineup,CHW,2B
Luke Keaschall,Halifax,MIN,2B
Luke Weaver,The Jackson 54,NYM,RP
MacKenzie Gore,Lemon Law Lineup,TEX,SP
Maikel Garcia,Halifax,KC,"2B,3B,SS"
Manny Machado,Levittown LumberJacks,SD,3B
Marcell Ozuna,Bo-Peeps Gentleman's Club,PIT,DH
Marcelo Mayer,O'Doyle Rulez,BOS,3B
Marco Luciano,Halifax,NYY,SS
Marcus Semien,Fear the Beer,NYM,2B
Mark Vientos,Lemon Law Lineup,NYM,3B
Martin Perez,Bo-Peeps Gentleman's Club,ATL,SP
Mason Miller,The Jackson 54,SD,RP
Masyn Winn,Bo-Peeps Gentleman's Club,STL,SS
Matt Chapman,Diamond Kings 2.0,SF,3B
Matt McLain,Lemon Law Lineup,CIN,2B
Matt Olson,Levittown LumberJacks,ATL,1B
Matt Shaw,Levittown LumberJacks,CHC,3B
Matthew Boyd,Levittown LumberJacks,CHC,SP
Matthew Liberatore,Quality Start,STL,SP
Max Clark,Diamond Kings 2.0,DET,OF
Max Fried,Fear the Beer,NYY,SP
Max Meyer,Diamond Kings 2.0,MIA,SP
Max Muncy,O'Doyle Rulez,LAD,3B
Max Scherzer,The Jackson 54,TOR,SP
Merrill Kelly,Bo-Peeps Gentleman's Club,ARI,SP
Michael Arroyo,Quality Start,SEA,2B
Michael Burrows,Renegades,HOU,SP
Michael Busch,Levittown LumberJacks,CHC,1B
Michael Conforto,Lemon Law Lineup,LAD,OF
Michael Harris,Diamond Kings 2.0,ATL,OF
Michael King,Diamond Kings 2.0,SD,SP
Michael Lorenzen,Quality Start,COL,SP
Michael Toglia,Lemon Law Lineup,CIN,1B
Michael Wacha,Bo-Peeps Gentleman's Club,KC,SP
Mick Abel,Levittown LumberJacks,MIN,SP
Miguel Vargas,Renegades,CHW,"1B,3B"
Mike Soroka,The Jackson 54,ARI,SP
Mike Trout,The Jackson 54,LAA,OF
Mitch Garver,Halifax,SEA,C
Mitch Keller,Fear the Beer,PIT,SP
Mitchell Parker,Bo-Peeps Gentleman's Club,WAS,SP
Moises Ballesteros,Quality Start,CHC,DH
Mookie Betts,Buck Dynasty,LAD,SS
Nathan Eaton,Bo-Peeps Gentleman's Club,BOS,"3B,OF"
Nathan Eovaldi,Levittown LumberJacks,TEX,SP
Nick Castellanos,Levittown LumberJacks,SD,OF
Nick Kurtz,Halifax,ATH,1B
Nick Lodolo,O'Doyle Rulez,CIN,SP
Nick Martinez,Levittown LumberJacks,TB,"SP,RP"
Nick Pivetta,Fear the Beer,SD,SP
Nico Hoerner,Bo-Peeps Gentleman's Club,CHC,2B
Noah Cameron,Halifax,KC,SP
Noah Schultz,Renegades,CHW,SP
Noble Meyer,Soylent Green Oreos,MIA,SP
Noelvi Marte,Soylent Green Oreos,CIN,"3B,OF"
Nolan Jones,Lemon Law Lineup,CLE,OF
Nolan McLean,Halifax,NYM,SP
Nolan Schanuel,Halifax,LAA,1B
Oneil Cruz,Halifax,PIT,OF
Otto Lopez,Lemon Law Lineup,MIA,"2B,SS"
Owen Caissie,Buck Dynasty,MIA,OF
Ozzie Albies,Levittown LumberJacks,ATL,2B
Pablo Lopez,Diamond Kings 2.0,MIN,SP
Parker Meadows,Lemon Law Lineup,DET,OF
Parker Messick,Diamond Kings 2.0,CLE,SP
Paul Goldschmidt,The Jackson 54,NYY,1B
Paul Skenes,The Jackson 54,PIT,SP
Payton Tolle,Renegades,BOS,RP
Pedro Pages,Lemon Law Lineup,STL,C
Pete Alonso,Quality Start,BAL,1B
Pete Crow-Armstrong,Renegades,CHC,OF
Pete Fairbanks,Levittown LumberJacks,MIA,RP
Quinn Mathews,Levittown LumberJacks,STL,SP
Quinn Priester,Soylent Green Oreos,MIL,SP
Rafael Devers,Buck Dynasty,SF,1B
Raisel Iglesias,Quality Start,ATL,RP
Ralphy Velazquez,The Jackson 54,CLE,1B
Randy Arozarena,O'Doyle Rulez,SEA,OF
Randy Vasquez,Lemon Law Lineup,SD,SP
Ranger Suarez,Halifax,BOS,SP
Reese Olson,Lemon Law Lineup,DET,SP
Rhett Lowder,Soylent Green Oreos,CIN,SP
Richard Fitts,Bo-Peeps Gentleman's Club,STL,SP
Ricky Tiedemann,Renegades,TOR,SP
Riley Greene,Quality Start,DET,OF
River Ryan,Fear the Beer,LAD,SP
Robbie Ray,Buck Dynasty,SF,SP
Robby Snelling,Renegades,MIA,SP
Robert Calaz,Buck Dynasty,COL,OF
Robert Garcia,Lemon Law Lineup,TEX,RP
Robert Gasser,Quality Start,MIL,SP
Robert Suarez,O'Doyle Rulez,ATL,RP
Roki Sasaki,Renegades,LAD,SP
Roman Anthony,Diamond Kings 2.0,BOS,OF
Ronald Acuna,The Jackson 54,ATL,OF
Ronny Henriquez,Renegades,MIA,RP
Ronny Mauricio,O'Doyle Rulez,NYM,3B
Royce Lewis,O'Doyle Rulez,MIN,3B
Ryan Bergert,Bo-Peeps Gentleman's Club,KC,SP
Ryan Clifford,O'Doyle Rulez,NYM,1B
Ryan Helsley,Bo-Peeps Gentleman's Club,BAL,RP
Ryan Jeffers,Bo-Peeps Gentleman's Club,MIN,C
Ryan Mountcastle,Bo-Peeps Gentleman's Club,BAL,1B
Ryan O'Hearn,O'Doyle Rulez,PIT,"1B,OF"
Ryan Pepiot,Renegades,TB,SP
Ryan Sloan,Fear the Beer,SEA,SP
Ryan Waldschmidt,Diamond Kings 2.0,ARI,OF
Ryan Weathers,Quality Start,NYY,SP
Ryan Yarbrough,Halifax,NYY,"SP,RP"
Ryne Nelson,Diamond Kings 2.0,ARI,"SP,RP"
Sal Frelick,Levittown LumberJacks,MIL,OF
Sal Stewart,Diamond Kings 2.0,CIN,1B
Salvador Perez,Buck Dynasty,KC,"C,1B"
Samuel Basallo,The Jackson 54,BAL,C
Sandy Alcantara,O'Doyle Rulez,MIA,SP
Sean Burke,Lemon Law Lineup,CHW,SP
Sean Manaea,O'Doyle Rulez,NYM,SP
Sean Murphy,O'Doyle Rulez,ATL,C
Seaver King,O'Doyle Rulez,WAS,SS
Sebastian Walcott,O'Doyle Rulez,TEX,SS
Seiya Suzuki,Soylent Green Oreos,CHC,OF
Seth Lugo,Fear the Beer,KC,SP
Shane Baz,Diamond Kings 2.0,BAL,SP
Shane Bieber,Renegades,TOR,SP
Shane McClanahan,The Jackson 54,TB,SP
Shane Smith,Diamond Kings 2.0,CHW,SP
Shea Langeliers,The Jackson 54,ATH,C
Shinnosuke Ogasawara,Bo-Peeps Gentleman's Club,WAS,RP
Shohei Ohtani,The Jackson 54,LAD,"U,SP"
Shohei Ohtani,The Jackson 54,LAD,"U,SP"
Shota Imanaga,Bo-Peeps Gentleman's Club,CHC,SP
Simeon Woods Richardson,Lemon Law Lineup,MIN,SP
Slade Cecconi,Bo-Peeps Gentleman's Club,CLE,SP
Sonny Gray,Bo-Peeps Gentleman's Club,BOS,SP
Spencer Arrighetti,Renegades,HOU,SP
Spencer Jones,Halifax,NYY,OF
Spencer Schwellenbach,Levittown LumberJacks,ATL,SP
Spencer Steer,Levittown LumberJacks,CIN,"1B,OF"
Spencer Strider,Levittown LumberJacks,ATL,SP
Spencer Torkelson,Soylent Green Oreos,DET,1B
Stephen Kolek,Lemon Law Lineup,KC,SP
Steven Kwan,Soylent Green Oreos,CLE,OF
Taj Bradley,O'Doyle Rulez,MIN,SP
Tanner Bibee,Diamond Kings 2.0,CLE,SP
Tanner Scott,Levittown LumberJacks,LAD,RP
Tarik Skubal,Buck Dynasty,DET,SP
Taylor Ward,Halifax,BAL,OF
Teoscar Hernandez,Levittown LumberJacks,LAD,OF
Termarr Johnson,Lemon Law Lineup,PIT,2B
Theo Gillen,Diamond Kings 2.0,TB,OF
Thomas White,Diamond Kings 2.0,MIA,SP
Tink Hence,Renegades,STL,SP
TJ Friedl,Bo-Peeps Gentleman's Club,CIN,OF
Tobias Myers,Renegades,NYM,"SP,RP"
Tommy Troy,Halifax,ARI,2B
Travis Bazzana,O'Doyle Rulez,CLE,2B
Travis Sykora,Diamond Kings 2.0,WAS,SP
Trea Turner,Buck Dynasty,PHI,SS
Trent Grisham,Levittown LumberJacks,NYY,OF
Trevor Harrison,Diamond Kings 2.0,TB,SP
Trevor Larnach,Levittown LumberJacks,MIN,OF
Trevor Megill,Levittown LumberJacks,MIL,RP
Trevor Rogers,The Jackson 54,BAL,SP
Trevor Story,Halifax,BOS,SS
Trey Yesavage,O'Doyle Rulez,TOR,SP
Triston Casas,Renegades,BOS,1B
Triston McKenzie,Bo-Peeps Gentleman's Club,SD,RP
Troy Melton,Renegades,DET,RP
Tyler Glasnow,The Jackson 54,LAD,SP
Tyler Mahle,Levittown LumberJacks,SF,SP
Tyler Rogers,Halifax,TOR,RP
Tyler Soderstrom,Diamond Kings 2.0,ATH,"1B,OF"
Tyler Stephenson,Halifax,CIN,C
Tyson Lewis,Diamond Kings 2.0,CIN,SS
Valente Bellozo,Bo-Peeps Gentleman's Club,COL,"SP,RP"
Vance Honeycutt,Halifax,BAL,OF
Victor Vodnik,Halifax,COL,RP
Vinnie Pasquantino,O'Doyle Rulez,KC,1B
Vladimir Guerrero,The Jackson 54,TOR,1B
Walker Jenkins,Diamond Kings 2.0,MIN,OF
Warming Bernabel,Diamond Kings 2.0,WAS,1B
Wenceel Perez,Bo-Peeps Gentleman's Club,DET,OF
